shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Q010111,40.725415,-73.724239,10001
Q010111,40.725462,-73.724339,10002
Q010111,40.725512,-73.724439,10003
Q010111,40.725642,-73.724729,10004
Q010111,40.725762,-73.725039,10005
Q010111,40.725882,-73.725359,10006
Q010111,40.726192,-73.726139,10007
Q010111,40.726232,-73.726259,10008
Q010111,40.726272,-73.726389,10009
Q010111,40.726282,-73.726419,10010
Q010111,40.726302,-73.726529,10011
Q010111,40.726322,-73.726629,10012
Q010111,40.726340,-73.726765,10013
Q010111,40.726340,-73.726765,20001
Q010111,40.726412,-73.727309,20002
Q010111,40.726532,-73.728249,20003
Q010111,40.726600,-73.728616,20004
Q010111,40.726600,-73.728616,30001
Q010111,40.726612,-73.728679,30002
Q010111,40.726722,-73.729139,30003
Q010111,40.726812,-73.729489,30004
Q010111,40.726955,-73.729918,30005
Q010111,40.726955,-73.729918,40001
Q010111,40.726982,-73.729999,40002
Q010111,40.727262,-73.730869,40003
Q010111,40.727472,-73.731549,40004
Q010111,40.727752,-73.732709,40005
Q010111,40.727782,-73.732819,40006
Q010111,40.727842,-73.733098,40007
Q010111,40.727842,-73.733098,50001
Q010111,40.727882,-73.733279,50002
Q010111,40.727962,-73.733619,50003
Q010111,40.728162,-73.734519,50004
Q010111,40.728402,-73.735499,50005
Q010111,40.728477,-73.735816,50006
Q010111,40.728477,-73.735816,60001
Q010111,40.728592,-73.736299,60002
Q010111,40.728792,-73.737149,60003
Q010111,40.728822,-73.737309,60004
Q010111,40.728891,-73.737628,60005
Q010111,40.728891,-73.737628,70001
Q010111,40.729002,-73.738139,70002
Q010111,40.729052,-73.738379,70003
Q010111,40.729178,-73.738926,70004
Q010111,40.729178,-73.738926,80001
Q010111,40.729202,-73.739029,80002
Q010111,40.729352,-73.739649,80003
Q010111,40.729562,-73.740589,80004
Q010111,40.729772,-73.741529,80005
Q010111,40.729930,-73.742226,80006
Q010111,40.729930,-73.742226,90001
Q010111,40.729962,-73.742369,90002
Q010111,40.730082,-73.742879,90003
Q010111,40.730272,-73.743709,90004
Q010111,40.730282,-73.743779,90005
Q010111,40.730352,-73.744069,90006
Q010111,40.730272,-73.744199,90007
Q010111,40.730222,-73.744289,90008
Q010111,40.729902,-73.744789,90009
Q010111,40.729585,-73.745298,90010
Q010111,40.729585,-73.745298,100001
Q010111,40.729472,-73.745479,100002
Q010111,40.729232,-73.745879,100003
Q010111,40.729032,-73.746169,100004
Q010111,40.728742,-73.746609,100005
Q010111,40.728592,-73.746849,100006
Q010111,40.728522,-73.746959,100007
Q010111,40.728442,-73.747069,100008
Q010111,40.728426,-73.747072,100009
Q010111,40.728426,-73.747072,110001
Q010111,40.728352,-73.747089,110002
Q010111,40.728022,-73.747639,110003
Q010111,40.727792,-73.748029,110004
Q010111,40.727622,-73.748329,110005
Q010111,40.727562,-73.748449,110006
Q010111,40.727192,-73.749209,110007
Q010111,40.727031,-73.749555,110008
Q010111,40.727031,-73.749555,120001
Q010111,40.726812,-73.750029,120002
Q010111,40.726422,-73.750849,120003
Q010111,40.726002,-73.751749,120004
Q010111,40.725829,-73.752094,120005
Q010111,40.725829,-73.752094,130001
Q010111,40.725572,-73.752609,130002
Q010111,40.725362,-73.752979,130003
Q010111,40.725142,-73.753359,130004
Q010111,40.724972,-73.753639,130005
Q010111,40.724692,-73.754109,130006
Q010111,40.724480,-73.754446,130007
Q010111,40.724480,-73.754446,140001
Q010111,40.724232,-73.754839,140002
Q010111,40.724182,-73.754909,140003
Q010111,40.724132,-73.754999,140004
Q010111,40.723622,-73.755769,140005
Q010111,40.723399,-73.756084,140006
Q010111,40.723399,-73.756084,150001
Q010111,40.723072,-73.756549,150002
Q010111,40.722572,-73.757269,150003
Q010111,40.722512,-73.757349,150004
Q010111,40.722356,-73.757555,150005
Q010111,40.722356,-73.757555,160001
Q010111,40.722052,-73.757959,160002
Q010111,40.722012,-73.758009,160003
Q010111,40.721572,-73.758669,160004
Q010111,40.721062,-73.759419,160005
Q010111,40.720902,-73.759689,160006
Q010111,40.720722,-73.760089,160007
Q010111,40.720668,-73.760224,160008
Q010111,40.720668,-73.760224,170001
Q010111,40.720642,-73.760289,170002
Q010111,40.720332,-73.761139,170003
Q010111,40.720002,-73.761979,170004
Q010111,40.719867,-73.762285,170005
Q010111,40.719867,-73.762285,180001
Q010111,40.719822,-73.762389,180002
Q010111,40.719642,-73.762789,180003
Q010111,40.719282,-73.763619,180004
Q010111,40.718892,-73.764479,180005
Q010111,40.718825,-73.764593,180006
Q010111,40.718825,-73.764593,190001
Q010111,40.718342,-73.765419,190002
Q010111,40.717632,-73.766659,190003
Q010111,40.717352,-73.767169,190004
Q010111,40.717282,-73.767309,190005
Q010111,40.716972,-73.768199,190006
Q010111,40.716812,-73.768679,190007
Q010111,40.716662,-73.769089,190008
Q010111,40.716622,-73.769219,190009
Q010111,40.716500,-73.769571,190010
Q010111,40.716500,-73.769571,200001
Q010111,40.716322,-73.770089,200002
Q010111,40.716002,-73.770989,200003
Q010111,40.715962,-73.771089,200004
Q010111,40.715832,-73.771469,200005
Q010111,40.715832,-73.771469,210001
Q010111,40.715682,-73.771909,210002
Q010111,40.715382,-73.772759,210003
Q010111,40.715159,-73.773410,210004
Q010111,40.715159,-73.773410,220001
Q010111,40.715112,-73.773549,220002
Q010111,40.715022,-73.773939,220003
Q010111,40.714902,-73.774429,220004
Q010111,40.714697,-73.775237,220005
Q010111,40.714697,-73.775237,230001
Q010111,40.714682,-73.775299,230002
Q010111,40.714592,-73.775709,230003
Q010111,40.714462,-73.776209,230004
Q010111,40.714242,-73.777119,230005
Q010111,40.714042,-73.778009,230006
Q010111,40.713961,-73.778399,230007
Q010111,40.713961,-73.778399,240001
Q010111,40.713862,-73.778879,240002
Q010111,40.713662,-73.779729,240003
Q010111,40.713497,-73.780415,240004
Q010111,40.713497,-73.780415,250001
Q010111,40.713472,-73.780519,250002
Q010111,40.713452,-73.780599,250003
Q010111,40.713162,-73.781799,250004
Q010111,40.713112,-73.781979,250005
Q010111,40.713022,-73.782289,250006
Q010111,40.712982,-73.782439,250007
Q010111,40.712922,-73.782669,250008
Q010111,40.712832,-73.783009,250009
Q010111,40.712682,-73.783559,250010
Q010111,40.712603,-73.783917,250011
Q010111,40.712603,-73.783917,260001
Q010111,40.712482,-73.784469,260002
Q010111,40.712272,-73.785339,260003
Q010111,40.712162,-73.785772,260004
Q010111,40.712162,-73.785772,270001
Q010111,40.712062,-73.786169,270002
Q010111,40.711862,-73.786989,270003
Q010111,40.711812,-73.787189,270004
Q010111,40.711782,-73.787369,270005
Q010111,40.711772,-73.787639,270006
Q010111,40.711792,-73.787889,270007
Q010111,40.711812,-73.788009,270008
Q010111,40.711842,-73.788099,270009
Q010111,40.711912,-73.788269,270010
Q010111,40.711982,-73.788449,270011
Q010111,40.712022,-73.788639,270012
Q010111,40.712052,-73.788779,270013
Q010111,40.712062,-73.788989,270014
Q010111,40.712042,-73.789159,270015
Q010111,40.712012,-73.789299,270016
Q010111,40.711982,-73.789399,270017
Q010111,40.711852,-73.789799,270018
Q010111,40.711752,-73.790106,270019
Q010111,40.711752,-73.790106,280001
Q010111,40.711712,-73.790229,280002
Q010111,40.711442,-73.791019,280003
Q010111,40.711072,-73.792039,280004
Q010111,40.710932,-73.792429,280005
Q010111,40.710702,-73.793039,280006
Q010111,40.710668,-73.793116,280007
Q010111,40.710668,-73.793116,290001
Q010111,40.710512,-73.793479,290002
Q010111,40.710342,-73.793899,290003
Q010111,40.710102,-73.794459,290004
Q010111,40.709992,-73.794749,290005
Q010111,40.709872,-73.795139,290006
Q010111,40.709742,-73.795559,290007
Q010111,40.709512,-73.796399,290008
Q010111,40.709332,-73.796269,290009
Q010111,40.708922,-73.795959,290010
Q010111,40.708772,-73.795859,290011
Q010111,40.708042,-73.795439,290012
Q010111,40.707671,-73.795196,290013
Q010112,40.717871,-73.735625,10001
