stop_id,stop_name,stop_lat,stop_lon,train_lines
101N,Van Cortlandt Park-242 St,40.889248,-73.898583,1
101S,Van Cortlandt Park-242 St,40.889248,-73.898583,1
103N,238 St,40.884667,-73.90087,1
103S,238 St,40.884667,-73.90087,1
104N,231 St,40.878856,-73.904834,1
104S,231 St,40.878856,-73.904834,1
106N,Marble Hill-225 St,40.874561,-73.909831,1
106S,Marble Hill-225 St,40.874561,-73.909831,1
107N,215 St,40.869444,-73.915279,1
107S,215 St,40.869444,-73.915279,1
108N,207 St,40.864621,-73.918822,1
108S,207 St,40.864621,-73.918822,1
109N,Dyckman St,40.860531,-73.925536,1
109S,Dyckman St,40.860531,-73.925536,1
110N,191 St,40.855225,-73.929412,1
110S,191 St,40.855225,-73.929412,1
111N,181 St,40.849505,-73.933596,1
111S,181 St,40.849505,-73.933596,1
112N,168 St-Washington Hts,40.840556,-73.940133,1
112S,168 St-Washington Hts,40.840556,-73.940133,1
113N,157 St,40.834041,-73.94489,1
113S,157 St,40.834041,-73.94489,1
114N,145 St,40.826551,-73.95036,1
114S,145 St,40.826551,-73.95036,1
115N,137 St-City College,40.822008,-73.953676,1
115S,137 St-City College,40.822008,-73.953676,1
116N,125 St,40.815581,-73.958372,1
116S,125 St,40.815581,-73.958372,1
117N,116 St-Columbia University,40.807722,-73.96411,1
117S,116 St-Columbia University,40.807722,-73.96411,1
118N,Cathedral Pkwy (110 St),40.803967,-73.966847,1
118S,Cathedral Pkwy (110 St),40.803967,-73.966847,1
119N,103 St,40.799446,-73.968379,1
119S,103 St,40.799446,-73.968379,1
120N,96 St,40.793919,-73.972323,1-2-3
120S,96 St,40.793919,-73.972323,1-2-3
121N,86 St,40.788644,-73.976218,1-2
121S,86 St,40.788644,-73.976218,1-2
122N,79 St,40.783934,-73.979917,1-2
122S,79 St,40.783934,-73.979917,1-2
123N,72 St,40.778453,-73.98197,1-2-3
123S,72 St,40.778453,-73.98197,1-2-3
124N,66 St-Lincoln Center,40.77344,-73.982209,1-2
124S,66 St-Lincoln Center,40.77344,-73.982209,1-2
125N,59 St-Columbus Circle,40.768247,-73.981929,1-2
125S,59 St-Columbus Circle,40.768247,-73.981929,1-2
126N,50 St,40.761728,-73.983849,1-2
126S,50 St,40.761728,-73.983849,1-2
127N,Times Sq-42 St,40.75529,-73.987495,1-2-3
127S,Times Sq-42 St,40.75529,-73.987495,1-2-3
128N,34 St-Penn Station,40.750373,-73.991057,1-2-3
128S,34 St-Penn Station,40.750373,-73.991057,1-2-3
129N,28 St,40.747215,-73.993365,1-2
129S,28 St,40.747215,-73.993365,1-2
130N,23 St,40.744081,-73.995657,1-2
130S,23 St,40.744081,-73.995657,1-2
131N,18 St,40.74104,-73.997871,1-2
131S,18 St,40.74104,-73.997871,1-2
132N,14 St,40.737826,-74.000201,1-2-3
132S,14 St,40.737826,-74.000201,1-2-3
133N,Christopher St-Stonewall,40.733422,-74.002906,1-2
133S,Christopher St-Stonewall,40.733422,-74.002906,1-2
134N,Houston St,40.728251,-74.005367,1-2
134S,Houston St,40.728251,-74.005367,1-2
135N,Canal St,40.722854,-74.006277,1-2
135S,Canal St,40.722854,-74.006277,1-2
136N,Franklin St,40.719318,-74.006886,1-2
