stop_id,stop_name,stop_lat,stop_lon
201S,Wakefield-241 St,40.903125,-73.85062
204S,Nereid Av,40.898379,-73.854376
205S,233 St,40.893193,-73.857473
206S,225 St,40.888022,-73.860341
207S,219 St,40.883895,-73.862633
208S,Gun Hill Rd,40.87785,-73.866256
209S,Burke Av,40.871356,-73.867164
210S,Allerton Av,40.865462,-73.867352
211S,Pelham Pkwy,40.857192,-73.867615
212S,Bronx Park East,40.848828,-73.868457
213S,E 180 St,40.841894,-73.873488
214S,West Farms Sq-E Tremont Av,40.840295,-73.880049
215S,174 St,40.837288,-73.887734
216S,Freeman St,40.829993,-73.891865
217S,Simpson St,40.824073,-73.893064
218S,Intervale Av,40.822181,-73.896736
219S,Prospect Av,40.819585,-73.90177
220S,Jackson Av,40.81649,-73.907807
221S,3 Av-149 St,40.816109,-73.917757
222S,149 St-Grand Concourse,40.81841,-73.926718
224S,135 St,40.814229,-73.94077
225S,125 St,40.807754,-73.945495
226S,116 St,40.802098,-73.949625
227S,Central Park North (110 St),40.799075,-73.951822
120S,96 St,40.793919,-73.972323
121S,86 St,40.788644,-73.976218
122S,79 St,40.783934,-73.979917
123S,72 St,40.778453,-73.98197
124S,66 St-Lincoln Center,40.77344,-73.982209
125S,59 St-Columbus Circle,40.768247,-73.981929
126S,50 St,40.761728,-73.983849
127S,Times Sq-42 St,40.75529,-73.987495
128S,34 St-Penn Station,40.750373,-73.991057
129S,28 St,40.747215,-73.993365
130S,23 St,40.744081,-73.995657
131S,18 St,40.74104,-73.997871
132S,14 St,40.737826,-74.000201
133S,Christopher St-Stonewall,40.733422,-74.002906
134S,Houston St,40.728251,-74.005367
135S,Canal St,40.722854,-74.006277
136S,Franklin St,40.719318,-74.006886
137S,Chambers St,40.715478,-74.009266
228S,Park Place,40.713051,-74.008811
229S,Fulton St,40.709416,-74.006571
230S,Wall St,40.706821,-74.0091
231S,Clark St,40.697466,-73.993086
232S,Borough Hall,40.693219,-73.989998
233S,Hoyt St,40.690545,-73.985065
234S,Nevins St,40.688246,-73.980492
235S,Atlantic Av-Barclays Ctr,40.684359,-73.977666
236S,Bergen St,40.680829,-73.975098
237S,Grand Army Plaza,40.675235,-73.971046
238S,Eastern Pkwy-Brooklyn Museum,40.671987,-73.964375
239S,Franklin Av-Medgar Evers College,40.670682,-73.958131
241S,President St-Medgar Evers College,40.667883,-73.950683
242S,Sterling St,40.662742,-73.95085
243S,Winthrop St,40.656652,-73.9502
244S,Church Av,40.650843,-73.949575
245S,Beverly Rd,40.645098,-73.948959
246S,Newkirk Av-Little Haiti,40.639967,-73.948411
247S,Flatbush Av-Brooklyn College,40.632836,-73.947642
246N,Newkirk Av-Little Haiti,40.639967,-73.948411
245N,Beverly Rd,40.645098,-73.948959
244N,Church Av,40.650843,-73.949575
243N,Winthrop St,40.656652,-73.9502
242N,Sterling St,40.662742,-73.95085
241N,President St-Medgar Evers College,40.667883,-73.950683
239N,Franklin Av-Medgar Evers College,40.670682,-73.958131
238N,Eastern Pkwy-Brooklyn Museum,40.671987,-73.964375
237N,Grand Army Plaza,40.675235,-73.971046
236N,Bergen St,40.680829,-73.975098
235N,Atlantic Av-Barclays Ctr,40.684359,-73.977666
234N,Nevins St,40.688246,-73.980492
233N,Hoyt St,40.690545,-73.985065
232N,Borough Hall,40.693219,-73.989998
231N,Clark St,40.697466,-73.993086
230N,Wall St,40.706821,-74.0091
229N,Fulton St,40.709416,-74.006571
228N,Park Place,40.713051,-74.008811
137N,Chambers St,40.715478,-74.009266
136N,Franklin St,40.719318,-74.006886
135N,Canal St,40.722854,-74.006277
134N,Houston St,40.728251,-74.005367
133N,Christopher St-Stonewall,40.733422,-74.002906
132N,14 St,40.737826,-74.000201
131N,18 St,40.74104,-73.997871
130N,23 St,40.744081,-73.995657
129N,28 St,40.747215,-73.993365
128N,34 St-Penn Station,40.750373,-73.991057
127N,Times Sq-42 St,40.75529,-73.987495
126N,50 St,40.761728,-73.983849
125N,59 St-Columbus Circle,40.768247,-73.981929
124N,66 St-Lincoln Center,40.77344,-73.982209
123N,72 St,40.778453,-73.98197
122N,79 St,40.783934,-73.979917
121N,86 St,40.788644,-73.976218
120N,96 St,40.793919,-73.972323
227N,Central Park North (110 St),40.799075,-73.951822
226N,116 St,40.802098,-73.949625
225N,125 St,40.807754,-73.945495
224N,135 St,40.814229,-73.94077
222N,149 St-Grand Concourse,40.81841,-73.926718
221N,3 Av-149 St,40.816109,-73.917757
220N,Jackson Av,40.81649,-73.907807
219N,Prospect Av,40.819585,-73.90177
218N,Intervale Av,40.822181,-73.896736
217N,Simpson St,40.824073,-73.893064
216N,Freeman St,40.829993,-73.891865
215N,174 St,40.837288,-73.887734
214N,West Farms Sq-E Tremont Av,40.840295,-73.880049
213N,E 180 St,40.841894,-73.873488
212N,Bronx Park East,40.848828,-73.868457
211N,Pelham Pkwy,40.857192,-73.867615
210N,Allerton Av,40.865462,-73.867352
209N,Burke Av,40.871356,-73.867164
208N,Gun Hill Rd,40.87785,-73.866256
207N,219 St,40.883895,-73.862633
206N,225 St,40.888022,-73.860341
205N,233 St,40.893193,-73.857473
204N,Nereid Av,40.898379,-73.854376
201N,Wakefield-241 St,40.903125,-73.85062
248S,Nostrand Av,40.669847,-73.950466
249S,Kingston Av,40.669399,-73.942161
250S,Crown Hts-Utica Av,40.668897,-73.932942
251S,Sutter Av-Rutland Rd,40.664717,-73.92261
252S,Saratoga Av,40.661453,-73.916327
253S,Rockaway Av,40.662549,-73.908946
254S,Junius St,40.663515,-73.902447
255S,Pennsylvania Av,40.664635,-73.894895
256S,Van Siclen Av,40.665449,-73.889395
257S,New Lots Av,40.666235,-73.884079
256N,Van Siclen Av,40.665449,-73.889395
255N,Pennsylvania Av,40.664635,-73.894895
254N,Junius St,40.663515,-73.902447
253N,Rockaway Av,40.662549,-73.908946
252N,Saratoga Av,40.661453,-73.916327
251N,Sutter Av-Rutland Rd,40.664717,-73.92261
250N,Crown Hts-Utica Av,40.668897,-73.932942
249N,Kingston Av,40.669399,-73.942161
248N,Nostrand Av,40.669847,-73.950466
