stop_id,stop_name,stop_lat,stop_lon
D03S,Bedford Park Blvd,40.873244,-73.887138
D04S,Kingsbridge Rd,40.866978,-73.893509
D05S,Fordham Rd,40.861296,-73.897749
D06S,182-183 Sts,40.856093,-73.900741
D07S,Tremont Av,40.85041,-73.905227
D08S,174-175 Sts,40.8459,-73.910136
D09S,170 St,40.839306,-73.9134
D10S,167 St,40.833771,-73.91844
D11S,161 St-Yankee Stadium,40.827905,-73.925651
D12S,155 St,40.830135,-73.938209
D13S,145 St,40.824783,-73.944216
A14S,135 St,40.817894,-73.947649
A15S,125 St,40.811109,-73.952343
A16S,116 St,40.805085,-73.954882
A17S,Cathedral Pkwy (110 St),40.800603,-73.958161
A18S,103 St,40.796092,-73.961454
A19S,96 St,40.791642,-73.964696
A20S,86 St,40.785868,-73.968916
A21S,81 St-Museum of Natural History,40.781433,-73.972143
A22S,72 St,40.775594,-73.97641
A24S,59 St-Columbus Circle,40.768296,-73.981736
D14S,7 Av,40.762862,-73.981637
D15S,47-50 Sts-Rockefeller Ctr,40.758663,-73.981329
D16S,42 St-Bryant Pk,40.754222,-73.984569
D17S,34 St-Herald Sq,40.749719,-73.987823
D20S,W 4 St-Wash Sq,40.732338,-74.000495
D21S,Broadway-Lafayette St,40.725297,-73.996204
D22S,Grand St,40.718267,-73.993753
R30S,DeKalb Av,40.690635,-73.981824
D24S,Atlantic Av-Barclays Ctr,40.68446,-73.97689
D25S,7 Av,40.67705,-73.972367
D26S,Prospect Park,40.661614,-73.962246
D27S,Parkside Av,40.655292,-73.961495
D28S,Church Av,40.650527,-73.962982
D29S,Beverley Rd,40.644031,-73.964492
D30S,Cortelyou Rd,40.640927,-73.963891
D31S,Newkirk Plaza,40.635082,-73.962793
D32S,Avenue H,40.62927,-73.961639
D33S,Avenue J,40.625039,-73.960803
D34S,Avenue M,40.617618,-73.959399
D35S,Kings Hwy,40.60867,-73.957734
D39S,Sheepshead Bay,40.586896,-73.954155
D40S,Brighton Beach,40.577621,-73.961376
D39N,Sheepshead Bay,40.586896,-73.954155
D35N,Kings Hwy,40.60867,-73.957734
D34N,Avenue M,40.617618,-73.959399
D33N,Avenue J,40.625039,-73.960803
D32N,Avenue H,40.62927,-73.961639
D31N,Newkirk Plaza,40.635082,-73.962793
D30N,Cortelyou Rd,40.640927,-73.963891
D29N,Beverley Rd,40.644031,-73.964492
D28N,Church Av,40.650527,-73.962982
D27N,Parkside Av,40.655292,-73.961495
D26N,Prospect Park,40.661614,-73.962246
D25N,7 Av,40.67705,-73.972367
D24N,Atlantic Av-Barclays Ctr,40.68446,-73.97689
R30N,DeKalb Av,40.690635,-73.981824
D22N,Grand St,40.718267,-73.993753
D21N,Broadway-Lafayette St,40.725297,-73.996204
D20N,W 4 St-Wash Sq,40.732338,-74.000495
D17N,34 St-Herald Sq,40.749719,-73.987823
D16N,42 St-Bryant Pk,40.754222,-73.984569
D15N,47-50 Sts-Rockefeller Ctr,40.758663,-73.981329
D14N,7 Av,40.762862,-73.981637
A24N,59 St-Columbus Circle,40.768296,-73.981736
A22N,72 St,40.775594,-73.97641
A21N,81 St-Museum of Natural History,40.781433,-73.972143
A20N,86 St,40.785868,-73.968916
A19N,96 St,40.791642,-73.964696
A18N,103 St,40.796092,-73.961454
A17N,Cathedral Pkwy (110 St),40.800603,-73.958161
A16N,116 St,40.805085,-73.954882
A15N,125 St,40.811109,-73.952343
A14N,135 St,40.817894,-73.947649
D13N,145 St,40.824783,-73.944216
D12N,155 St,40.830135,-73.938209
D11N,161 St-Yankee Stadium,40.827905,-73.925651
D10N,167 St,40.833771,-73.91844
D09N,170 St,40.839306,-73.9134
D08N,174-175 Sts,40.8459,-73.910136
D07N,Tremont Av,40.85041,-73.905227
D06N,182-183 Sts,40.856093,-73.900741
D05N,Fordham Rd,40.861296,-73.897749
D04N,Kingsbridge Rd,40.866978,-73.893509
D03N,Bedford Park Blvd,40.873244,-73.887138
