stop_id,stop_name,stop_lat,stop_lon
D01S,Norwood-205 St,40.874811,-73.878855
D03S,Bedford Park Blvd,40.873244,-73.887138
D04S,Kingsbridge Rd,40.866978,-73.893509
D05S,Fordham Rd,40.861296,-73.897749
D06S,182-183 Sts,40.856093,-73.900741
D07S,Tremont Av,40.85041,-73.905227
D08S,174-175 Sts,40.8459,-73.910136
D09S,170 St,40.839306,-73.9134
D10S,167 St,40.833771,-73.91844
D11S,161 St-Yankee Stadium,40.827905,-73.925651
D12S,155 St,40.830135,-73.938209
D13S,145 St,40.824783,-73.944216
A15S,125 St,40.811109,-73.952343
A24S,59 St-Columbus Circle,40.768296,-73.981736
D14S,7 Av,40.762862,-73.981637
D15S,47-50 Sts-Rockefeller Ctr,40.758663,-73.981329
D16S,42 St-Bryant Pk,40.754222,-73.984569
D17S,34 St-Herald Sq,40.749719,-73.987823
D20S,W 4 St-Wash Sq,40.732338,-74.000495
D21S,Broadway-Lafayette St,40.725297,-73.996204
D22S,Grand St,40.718267,-73.993753
R30S,DeKalb Av,40.690635,-73.981824
R31S,Atlantic Av-Barclays Ctr,40.683666,-73.97881
R32S,Union St,40.677316,-73.98311
R33S,4 Av-9 St,40.670847,-73.988302
R34S,Prospect Av,40.665414,-73.992872
R35S,25 St,40.660397,-73.998091
R36S,36 St,40.655144,-74.003549
B12S,9 Av,40.646292,-73.994324
B13S,Fort Hamilton Pkwy,40.640914,-73.994304
B14S,50 St,40.63626,-73.994791
B15S,55 St,40.631435,-73.995476
B16S,62 St,40.626472,-73.996895
B17S,71 St,40.619589,-73.998864
B18S,79 St,40.613501,-74.00061
B19S,18 Av,40.607954,-74.001736
B20S,20 Av,40.604556,-73.998168
B21S,Bay Pkwy,40.601875,-73.993728
B22S,25 Av,40.597704,-73.986829
B23S,Bay 50 St,40.588841,-73.983765
D43S,Coney Island-Stillwell Av,40.577422,-73.981233
B23N,Bay 50 St,40.588841,-73.983765
B22N,25 Av,40.597704,-73.986829
B21N,Bay Pkwy,40.601875,-73.993728
B20N,20 Av,40.604556,-73.998168
B19N,18 Av,40.607954,-74.001736
B18N,79 St,40.613501,-74.00061
B17N,71 St,40.619589,-73.998864
B16N,62 St,40.626472,-73.996895
B15N,55 St,40.631435,-73.995476
B14N,50 St,40.63626,-73.994791
B13N,Fort Hamilton Pkwy,40.640914,-73.994304
B12N,9 Av,40.646292,-73.994324
R36N,36 St,40.655144,-74.003549
R35N,25 St,40.660397,-73.998091
R34N,Prospect Av,40.665414,-73.992872
R33N,4 Av-9 St,40.670847,-73.988302
R32N,Union St,40.677316,-73.98311
R31N,Atlantic Av-Barclays Ctr,40.683666,-73.97881
R30N,DeKalb Av,40.690635,-73.981824
D22N,Grand St,40.718267,-73.993753
D21N,Broadway-Lafayette St,40.725297,-73.996204
D20N,W 4 St-Wash Sq,40.732338,-74.000495
D17N,34 St-Herald Sq,40.749719,-73.987823
D16N,42 St-Bryant Pk,40.754222,-73.984569
D15N,47-50 Sts-Rockefeller Ctr,40.758663,-73.981329
D14N,7 Av,40.762862,-73.981637
A24N,59 St-Columbus Circle,40.768296,-73.981736
A15N,125 St,40.811109,-73.952343
D13N,145 St,40.824783,-73.944216
D12N,155 St,40.830135,-73.938209
D11N,161 St-Yankee Stadium,40.827905,-73.925651
D10N,167 St,40.833771,-73.91844
D09N,170 St,40.839306,-73.9134
D08N,174-175 Sts,40.8459,-73.910136
D07N,Tremont Av,40.85041,-73.905227
D06N,182-183 Sts,40.856093,-73.900741
D05N,Fordham Rd,40.861296,-73.897749
D04N,Kingsbridge Rd,40.866978,-73.893509
D03N,Bedford Park Blvd,40.873244,-73.887138
D01N,Norwood-205 St,40.874811,-73.878855
