stop_id,stop_name,stop_lat,stop_lon
L29N,Canarsie-Rockaway Pkwy,40.646654,-73.90185
L28N,East 105 St,40.650573,-73.899485
L27N,New Lots Av,40.658733,-73.899232
L26N,Livonia Av,40.664038,-73.900571
L25N,Sutter Av,40.669367,-73.901975
L24N,Atlantic Av,40.675345,-73.903097
L22N,Broadway Junction,40.678856,-73.90324
L21N,Bushwick Av-Aberdeen St,40.682829,-73.905249
L20N,Wilson Av,40.688764,-73.904046
L19N,Halsey St,40.695602,-73.904084
L17N,Myrtle-Wyckoff Avs,40.699814,-73.911586
L16N,DeKalb Av,40.703811,-73.918425
L15N,Jefferson St,40.706607,-73.922913
L14N,Morgan Av,40.706152,-73.933147
L13N,Montrose Av,40.707739,-73.93985
L12N,Grand St,40.711926,-73.94067
L11N,Graham Av,40.714565,-73.944053
L10N,Lorimer St,40.714063,-73.950275
L08N,Bedford Av,40.717304,-73.956872
L06N,1 Av,40.730953,-73.981628
L05N,3 Av,40.732849,-73.986122
L03N,14 St-Union Sq,40.734789,-73.99073
L02N,6 Av,40.737335,-73.996786
L01N,8 Av,40.739777,-74.002578
L02S,6 Av,40.737335,-73.996786
L03S,14 St-Union Sq,40.734789,-73.99073
L05S,3 Av,40.732849,-73.986122
L06S,1 Av,40.730953,-73.981628
L08S,Bedford Av,40.717304,-73.956872
L10S,Lorimer St,40.714063,-73.950275
L11S,Graham Av,40.714565,-73.944053
L12S,Grand St,40.711926,-73.94067
L13S,Montrose Av,40.707739,-73.93985
L14S,Morgan Av,40.706152,-73.933147
L15S,Jefferson St,40.706607,-73.922913
L16S,DeKalb Av,40.703811,-73.918425
L17S,Myrtle-Wyckoff Avs,40.699814,-73.911586
L19S,Halsey St,40.695602,-73.904084
L20S,Wilson Av,40.688764,-73.904046
L21S,Bushwick Av-Aberdeen St,40.682829,-73.905249
L22S,Broadway Junction,40.678856,-73.90324
L24S,Atlantic Av,40.675345,-73.903097
L25S,Sutter Av,40.669367,-73.901975
L26S,Livonia Av,40.664038,-73.900571
L27S,New Lots Av,40.658733,-73.899232
L28S,East 105 St,40.650573,-73.899485
L29S,Canarsie-Rockaway Pkwy,40.646654,-73.90185
