stop_id,stop_name,stop_lat,stop_lon
R01S,Astoria-Ditmars Blvd,40.775036,-73.912034
R03S,Astoria Blvd,40.770258,-73.917843
R04S,30 Av,40.766779,-73.921479
R05S,Broadway,40.76182,-73.925508
R06S,36 Av,40.756804,-73.929575
R08S,39 Av-Dutch Kills,40.752882,-73.932755
R09S,Queensboro Plaza,40.750582,-73.940202
R11S,Lexington Av/59 St,40.76266,-73.967258
R13S,5 Av/59 St,40.764811,-73.973347
R14S,57 St-7 Av,40.764664,-73.980658
R15S,49 St,40.759901,-73.984139
R16S,Times Sq-42 St,40.754672,-73.986754
R17S,34 St-Herald Sq,40.749567,-73.98795
R18S,28 St,40.745494,-73.988691
R19S,23 St,40.741303,-73.989344
R20S,14 St-Union Sq,40.735736,-73.990568
R21S,8 St-NYU,40.730328,-73.992629
R22S,Prince St,40.724329,-73.997702
R23S,Canal St,40.719527,-74.001775
R24S,City Hall,40.713282,-74.006978
R25S,Cortlandt St,40.710668,-74.011029
R26S,Rector St,40.70722,-74.013342
R27S,Whitehall St-South Ferry,40.703087,-74.012994
R28S,Court St,40.6941,-73.991777
R29S,Jay St-MetroTech,40.69218,-73.985942
R30S,DeKalb Av,40.690635,-73.981824
R31S,Atlantic Av-Barclays Ctr,40.683666,-73.97881
R32S,Union St,40.677316,-73.98311
R33S,4 Av-9 St,40.670847,-73.988302
R34S,Prospect Av,40.665414,-73.992872
R35S,25 St,40.660397,-73.998091
R36S,36 St,40.655144,-74.003549
R39S,45 St,40.648939,-74.010006
R40S,53 St,40.645069,-74.014034
R41S,59 St,40.641362,-74.017881
N02S,8 Av,40.635064,-74.011719
N03S,Fort Hamilton Pkwy,40.631386,-74.005351
N04S,New Utrecht Av,40.624842,-73.996353
N05S,18 Av,40.620671,-73.990414
N06S,20 Av,40.61741,-73.985026
N07S,Bay Pkwy,40.611815,-73.981848
N08S,Kings Hwy,40.603923,-73.980353
N09S,Avenue U,40.597473,-73.979137
N10S,86 St,40.592721,-73.97823
D43S,Coney Island-Stillwell Av,40.577422,-73.981233
N10N,86 St,40.592721,-73.97823
N09N,Avenue U,40.597473,-73.979137
N08N,Kings Hwy,40.603923,-73.980353
N07N,Bay Pkwy,40.611815,-73.981848
N06N,20 Av,40.61741,-73.985026
N05N,18 Av,40.620671,-73.990414
N04N,New Utrecht Av,40.624842,-73.996353
N03N,Fort Hamilton Pkwy,40.631386,-74.005351
N02N,8 Av,40.635064,-74.011719
R41N,59 St,40.641362,-74.017881
R40N,53 St,40.645069,-74.014034
R39N,45 St,40.648939,-74.010006
R36N,36 St,40.655144,-74.003549
R35N,25 St,40.660397,-73.998091
R34N,Prospect Av,40.665414,-73.992872
R33N,4 Av-9 St,40.670847,-73.988302
R32N,Union St,40.677316,-73.98311
R31N,Atlantic Av-Barclays Ctr,40.683666,-73.97881
R30N,DeKalb Av,40.690635,-73.981824
R29N,Jay St-MetroTech,40.69218,-73.985942
R28N,Court St,40.6941,-73.991777
R27N,Whitehall St-South Ferry,40.703087,-74.012994
R26N,Rector St,40.70722,-74.013342
R25N,Cortlandt St,40.710668,-74.011029
R24N,City Hall,40.713282,-74.006978
R23N,Canal St,40.719527,-74.001775
R22N,Prince St,40.724329,-73.997702
R21N,8 St-NYU,40.730328,-73.992629
R20N,14 St-Union Sq,40.735736,-73.990568
R19N,23 St,40.741303,-73.989344
R18N,28 St,40.745494,-73.988691
R17N,34 St-Herald Sq,40.749567,-73.98795
R16N,Times Sq-42 St,40.754672,-73.986754
R15N,49 St,40.759901,-73.984139
R14N,57 St-7 Av,40.764664,-73.980658
R13N,5 Av/59 St,40.764811,-73.973347
R11N,Lexington Av/59 St,40.76266,-73.967258
R09N,Queensboro Plaza,40.750582,-73.940202
R08N,39 Av-Dutch Kills,40.752882,-73.932755
R06N,36 Av,40.756804,-73.929575
R05N,Broadway,40.76182,-73.925508
R04N,30 Av,40.766779,-73.921479
R03N,Astoria Blvd,40.770258,-73.917843
R01N,Astoria-Ditmars Blvd,40.775036,-73.912034
Q01N,Canal St,40.718383,-74.00046
Q01S,Canal St,40.718383,-74.00046
B08N,Lexington Av/63 St,40.764629,-73.966113
Q03N,72 St,40.768799,-73.958424
Q04N,86 St,40.777891,-73.951787
Q05N,96 St,40.784318,-73.947152
Q04S,86 St,40.777891,-73.951787
Q03S,72 St,40.768799,-73.958424
B08S,Lexington Av/63 St,40.764629,-73.966113
