stop_id,stop_name,stop_lat,stop_lon
Q05S,96 St,40.784318,-73.947152
Q04S,86 St,40.777891,-73.951787
Q03S,72 St,40.768799,-73.958424
B08S,Lexington Av/63 St,40.764629,-73.966113
R14S,57 St-7 Av,40.764664,-73.980658
R15S,49 St,40.759901,-73.984139
R16S,Times Sq-42 St,40.754672,-73.986754
R17S,34 St-Herald Sq,40.749567,-73.98795
R18S,28 St,40.745494,-73.988691
R19S,23 St,40.741303,-73.989344
R20S,14 St-Union Sq,40.735736,-73.990568
R21S,8 St-NYU,40.730328,-73.992629
R22S,Prince St,40.724329,-73.997702
Q01S,Canal St,40.718383,-74.00046
R30S,DeKalb Av,40.690635,-73.981824
D24S,Atlantic Av-Barclays Ctr,40.68446,-73.97689
D25S,7 Av,40.67705,-73.972367
D26S,Prospect Park,40.661614,-73.962246
D27S,Parkside Av,40.655292,-73.961495
D28S,Church Av,40.650527,-73.962982
D29S,Beverley Rd,40.644031,-73.964492
D30S,Cortelyou Rd,40.640927,-73.963891
D31S,Newkirk Plaza,40.635082,-73.962793
D32S,Avenue H,40.62927,-73.961639
D33S,Avenue J,40.625039,-73.960803
D34S,Avenue M,40.617618,-73.959399
D35S,Kings Hwy,40.60867,-73.957734
D37S,Avenue U,40.5993,-73.955929
D38S,Neck Rd,40.595246,-73.955161
D39S,Sheepshead Bay,40.586896,-73.954155
D40S,Brighton Beach,40.577621,-73.961376
D41S,Ocean Pkwy,40.576312,-73.968501
D42S,W 8 St-NY Aquarium,40.576127,-73.975939
D43S,Coney Island-Stillwell Av,40.577422,-73.981233
D42N,W 8 St-NY Aquarium,40.576127,-73.975939
D41N,Ocean Pkwy,40.576312,-73.968501
D40N,Brighton Beach,40.577621,-73.961376
D39N,Sheepshead Bay,40.586896,-73.954155
D38N,Neck Rd,40.595246,-73.955161
D37N,Avenue U,40.5993,-73.955929
D35N,Kings Hwy,40.60867,-73.957734
D34N,Avenue M,40.617618,-73.959399
D33N,Avenue J,40.625039,-73.960803
D32N,Avenue H,40.62927,-73.961639
D31N,Newkirk Plaza,40.635082,-73.962793
D30N,Cortelyou Rd,40.640927,-73.963891
D29N,Beverley Rd,40.644031,-73.964492
D28N,Church Av,40.650527,-73.962982
D27N,Parkside Av,40.655292,-73.961495
D26N,Prospect Park,40.661614,-73.962246
D25N,7 Av,40.67705,-73.972367
D24N,Atlantic Av-Barclays Ctr,40.68446,-73.97689
R30N,DeKalb Av,40.690635,-73.981824
Q01N,Canal St,40.718383,-74.00046
R22N,Prince St,40.724329,-73.997702
R21N,8 St-NYU,40.730328,-73.992629
R20N,14 St-Union Sq,40.735736,-73.990568
R19N,23 St,40.741303,-73.989344
R18N,28 St,40.745494,-73.988691
R17N,34 St-Herald Sq,40.749567,-73.98795
R16N,Times Sq-42 St,40.754672,-73.986754
R15N,49 St,40.759901,-73.984139
R14N,57 St-7 Av,40.764664,-73.980658
B08N,Lexington Av/63 St,40.764629,-73.966113
Q03N,72 St,40.768799,-73.958424
Q04N,86 St,40.777891,-73.951787
Q05N,96 St,40.784318,-73.947152
