stop_id,stop_name,stop_lat,stop_lon
R27S,Whitehall St-South Ferry,40.703087,-74.012994
R28S,Court St,40.6941,-73.991777
R29S,Jay St-MetroTech,40.69218,-73.985942
R30S,DeKalb Av,40.690635,-73.981824
R31S,Atlantic Av-Barclays Ctr,40.683666,-73.97881
R32S,Union St,40.677316,-73.98311
R33S,4 Av-9 St,40.670847,-73.988302
R34S,Prospect Av,40.665414,-73.992872
R35S,25 St,40.660397,-73.998091
R36S,36 St,40.655144,-74.003549
R39S,45 St,40.648939,-74.010006
R40S,53 St,40.645069,-74.014034
R41S,59 St,40.641362,-74.017881
R42S,Bay Ridge Av,40.634967,-74.023377
R43S,77 St,40.629742,-74.02551
R44S,86 St,40.622687,-74.028398
R45S,Bay Ridge-95 St,40.616622,-74.030876
R44N,86 St,40.622687,-74.028398
R43N,77 St,40.629742,-74.02551
R42N,Bay Ridge Av,40.634967,-74.023377
R41N,59 St,40.641362,-74.017881
R40N,53 St,40.645069,-74.014034
R39N,45 St,40.648939,-74.010006
R36N,36 St,40.655144,-74.003549
R35N,25 St,40.660397,-73.998091
R34N,Prospect Av,40.665414,-73.992872
R33N,4 Av-9 St,40.670847,-73.988302
R32N,Union St,40.677316,-73.98311
R31N,Atlantic Av-Barclays Ctr,40.683666,-73.97881
R30N,DeKalb Av,40.690635,-73.981824
R29N,Jay St-MetroTech,40.69218,-73.985942
R28N,Court St,40.6941,-73.991777
R27N,Whitehall St-South Ferry,40.703087,-74.012994
G09S,67 Av,40.726523,-73.852719
G10S,63 Dr-Rego Park,40.729846,-73.861604
G11S,Woodhaven Blvd,40.733106,-73.869229
G12S,Grand Av-Newtown,40.737015,-73.877223
G13S,Elmhurst Av,40.742454,-73.882017
G14S,Jackson Hts-Roosevelt Av,40.746644,-73.891338
G15S,65 St,40.749669,-73.898453
G16S,Northern Blvd,40.752885,-73.906006
G18S,46 St,40.756312,-73.913333
G19S,Steinway St,40.756879,-73.92074
G20S,36 St,40.752039,-73.928781
G21S,Queens Plaza,40.748973,-73.937243
R11S,Lexington Av/59 St,40.76266,-73.967258
R13S,5 Av/59 St,40.764811,-73.973347
R14S,57 St-7 Av,40.764664,-73.980658
R15S,49 St,40.759901,-73.984139
R16S,Times Sq-42 St,40.754672,-73.986754
R17S,34 St-Herald Sq,40.749567,-73.98795
R18S,28 St,40.745494,-73.988691
R19S,23 St,40.741303,-73.989344
R20S,14 St-Union Sq,40.735736,-73.990568
R21S,8 St-NYU,40.730328,-73.992629
R22S,Prince St,40.724329,-73.997702
R23S,Canal St,40.719527,-74.001775
R24S,City Hall,40.713282,-74.006978
R25S,Cortlandt St,40.710668,-74.011029
R26S,Rector St,40.70722,-74.013342
R26N,Rector St,40.70722,-74.013342
R25N,Cortlandt St,40.710668,-74.011029
R24N,City Hall,40.713282,-74.006978
R23N,Canal St,40.719527,-74.001775
R22N,Prince St,40.724329,-73.997702
R21N,8 St-NYU,40.730328,-73.992629
R20N,14 St-Union Sq,40.735736,-73.990568
R19N,23 St,40.741303,-73.989344
R18N,28 St,40.745494,-73.988691
R17N,34 St-Herald Sq,40.749567,-73.98795
R16N,Times Sq-42 St,40.754672,-73.986754
R15N,49 St,40.759901,-73.984139
R14N,57 St-7 Av,40.764664,-73.980658
R13N,5 Av/59 St,40.764811,-73.973347
R11N,Lexington Av/59 St,40.76266,-73.967258
G21N,Queens Plaza,40.748973,-73.937243
G20N,36 St,40.752039,-73.928781
G19N,Steinway St,40.756879,-73.92074
G18N,46 St,40.756312,-73.913333
G16N,Northern Blvd,40.752885,-73.906006
G15N,65 St,40.749669,-73.898453
G14N,Jackson Hts-Roosevelt Av,40.746644,-73.891338
G13N,Elmhurst Av,40.742454,-73.882017
G12N,Grand Av-Newtown,40.737015,-73.877223
G11N,Woodhaven Blvd,40.733106,-73.869229
G10N,63 Dr-Rego Park,40.729846,-73.861604
G09N,67 Av,40.726523,-73.852719
G08N,Forest Hills-71 Av,40.721691,-73.844521
B08N,Lexington Av/63 St,40.764629,-73.966113
Q03N,72 St,40.768799,-73.958424
Q04N,86 St,40.777891,-73.951787
Q05N,96 St,40.784318,-73.947152
